a	a	['boa', 'pea', 'sea', 'tea']
reh	her	['another', 'brother', 'butcher', 'farther', 'feather', 'further', 'heather', 'leather', 'neither', 'smasher', 'thither', 'weather', 'whether', 'whither']
seh	hes	['beeches', 'clothes', 'matches', 'patches', 'reaches']
gnih	hing	['breathing', 'clutching', 'searching', 'smoothing', 'something', 'splashing', 'twitching', 'vanishing', 'wrenching']
th	ht	['eight', 'fight', 'light', 'might', 'night', 'ought', 'right', 'sight', 'tight']
lai	ial	['crucial', 'special', 'sundial', 'trivial']
ci	ic	['attic', 'comic', 'cubic', 'logic', 'music', 'relic', 'topic']
eci	ice	['justice', 'service']
di	id	['avoid', 'livid', 'lucid', 'lurid', 'plaid', 'rapid', 'rigid', 'solid', 'timid', 'undid', 'valid', 'vivid']
edi	ide	['bedside', 'confide', 'outside', 'provide', 'suicide', 'wayside']
dei	ied	['carried', 'emptied', 'hurried', 'married', 'replied', 'storied', 'studied', 'tallied']
sei	ies	['agonies', 'carries', 'derbies', 'dooties', 'enemies', 'entries', 'fancies', 'gipsies', 'hobbies', 'implies', 'parties', 'pennies', 'sallies', 'stories', 'studies']
thgi	ight	['firelight', 'foresight', 'fortnight', 'moonlight', 'oversight']
li	il	['avail', 'civil', 'devil', 'trail', 'until', 'vigil']
yli	ily	['happily', 'hastily', 'heavily', 'jerkily', 'loftily', 'moodily', 'readily']
ni	in	['again', 'basin', 'begin', 'brain', 'chain', 'grain', 'plain', 'satin', 'stain', 'train']
eni	ine	['cocaine', 'combine', 'confine', 'decline', 'examine', 'imagine', 'machine', 'outline', 'routine']
deni	ined	['chagrined', 'contained', 'explained']
gni	ing	['abiding', 'amazing', 'amusing', 'banking', 'bearing', 'beating', 'begging', 'bending', 'binding', 'blazing', 'blowing', 'boiling', 'braving', 'bumping', 'burning', 'buzzing', 'calling', 'casting', 'causing', 'ceiling', 'chasing', 'chewing', 'closing', 'coaxing', 'cocking', 'cooking', 'copying', 'cunning', 'curling', 'curving', 'damning', 'darting', 'dashing', 'daubing', 'dealing', 'denying', 'dipping', 'drawing', 'driving', 'droning', 'earning', 'evening', 'failing', 'falling', 'feeling', 'filling', 'finding', 'fitting', 'flaming', 'flaring', 'flowing', 'folding', 'footing', 'forming', 'gaining', 'getting', 'glaring', 'glowing', 'goading', 'grating', 'groping', 'growing', 'handing', 'hanging', 'hauling', 'heading', 'hearing', 'heaving', 'helping', 'hinting', 'holding', 'howling', 'humming', 'hunting', 'hurling', 'hushing', 'jerking', 'jesting', 'jumping', 'jutting', 'keeping', 'killing', 'knowing', 'landing', 'lasting', 'leading', 'leaking', 'leaning', 'leaving', 'limping', 'loading', 'loafing', 'lodging', 'looking', 'looming', 'lurking', 'meaning', 'meeting', 'missing', 'mopping', 'morning', 'nearing', 'nodding', 'nothing', 'opening', 'passing', 'patting', 'pausing', 'peeling', 'peeping', 'peering', 'picking', 'placing', 'playing', 'pouring', 'probing', 'proving', 'puffing', 'pulling', 'pushing', 'putting', 'raising', 'reading', 'rearing', 'rending', 'resting', 'ringing', 'rolling', 'rubbing', 'running', 'rushing', 'sailing', 'seeking', 'sending', 'serving', 'setting', 'shading', 'shaking', 'sharing', 'shaving', 'shining', 'shoving', 'showing', 'sighing', 'sinking', 'sitting', 'sliding', 'sloping', 'smiling', 'smoking', 'snoring', 'sobbing', 'staring', 'staying', 'sulking', 'swaying', 'tailing', 'talking', 'tapping', 'tearing', 'telling', 'ticking', 'tossing', 'tugging', 'turning', 'undoing', 'wadding', 'waiting', 'walking', 'wanting', 'warning', 'washing', 'wearing', 'wedding', 'willing', 'wincing', 'winding', 'winking', 'wishing', 'working', 'writing', 'yawning']
sgni	ings	['buildings', 'claspings', 'plannings', 'ramblings', 'shillings', 'steadings']
noi	ion	['bullion', 'caution', 'cushion', 'emotion', 'fashion', 'fiction', 'mansion', 'mention', 'million', 'mission', 'opinion', 'passion', 'portion', 'station', 'tension']
snoi	ions	['allusions', 'positions', 'questions', 'relations']
suoi	ious	['ambitious', 'conscious', 'delirious', 'ferocious', 'ingenious', 'luxurious', 'notorious', 'tenacious']
esi	ise	['concise', 'precise', 'promise', 'realise', 'surmise', 'utilise']
hsi	ish	['foolish', 'furnish', 'greyish', 'hellish', 'selfish', 'snakish', 'sottish', 'tallish']
ti	it	['admit', 'await', 'habit', 'limit', 'merit', 'visit']
yti	ity	['charity', 'dignity', 'gravity', 'quality']
evi	ive	['abusive', 'deceive', 'forgive', 'furtive', 'massive', 'receive', 'restive']
k	k	['ask', 'ink', 'oak']
ek	ke	['alike', 'awake', 'awoke', 'broke', 'shake', 'smoke', 'snake', 'spoke', 'stake']
dek	ked	['blinked', 'blocked', 'chucked', 'clinked', 'cracked', 'flecked', 'flicked', 'knocked', 'planked', 'plucked', 'shocked', 'stalked', 'stocked', 'tricked']
gnik	king	['remarking', 'unlocking']
sk	ks	['banks', 'books', 'docks', 'folks', 'kicks', 'links', 'looks', 'marks', 'risks', 'socks', 'walks', 'weeks']
l	l	['all', 'ill', 'oil', 'pal']
dl	ld	['build', 'child', 'could', 'field', 'mould', 'world', 'would']
el	le	['aisle', 'angle', 'cable', 'doyle', 'noble', 'rifle', 'sable', 'scale', 'smile', 'stale', 'stile', 'stole', 'style', 'table', 'title', 'uncle', 'while', 'whole']
